name,description,url,image_url
Vite legno Combi,"Vite legno Combi - vite strutturale per legno idonea per il fissaggio di strutture in legno da esterno, pergolati, gazebo, recinzioni, scale in legno, strutture per gioco e tempo libero
 
certificata ETA-12/0373
classe di reazione al fuoco A1, secondo EN 13501
testa esagonale con rinforzo sottotesta
impronta TX
filetto singolo a passo rapido
filetto fresante centrale per riduzione sforzo di avvitamento
prodotta con acciaio speciale al carbonio temperato ad alta flessibilità
trattamento superficiale a base di cera lubrificante
zincata bianca",https://www.unishop.it/vite-legno-combi/8c962f8c-f206-4e28-8698-a1e898c43b2f,https://www.unishop.it/media/0e/c4/b1/1742240181/0190-10-100_MAINPIC_high.webp
Zincata bianca,Vite truciolare TCB - impronta Pozidriv,https://www.unishop.it/5x20/0196-5-20-01,https://www.unishop.it/media/59/6e/72/1742234500/0196-3-10_MAINPIC_high.webp
Inox A2,Vite truciolare TPS - impronta Pozidriv,https://www.unishop.it/4x16/0182-4-16-01,https://www.unishop.it/media/ca/db/8e/1742240201/0162-35-16_MAINPIC_high.webp
"Zincato bianco, classe 4.8, U…",Tirafondo - vite per legno a testa esagonale,https://www.unishop.it/12x260/0192-12-260-01,https://www.unishop.it/media/21/a7/18/1742234501/0192-10-100_MAINPIC_high.webp
Bronzata,Vite truciolare TPS - impronta Pozidriv,https://www.unishop.it/2-4x12/0183-24-12-01,https://www.unishop.it/media/25/c8/56/1742240228/0183-24-12_MAINPIC_high.webp
Zincata gialla,Vite truciolare TCB - impronta Pozidriv,https://www.unishop.it/4x20/0196-24-20-01,https://www.unishop.it/media/fe/06/14/1742240634/0196-24-20_MAINPIC_high.webp
"Inox A2, UNI704 DIN571",Tirafondo - vite per legno a testa esagonale,https://www.unishop.it/6x70/0193-6-70-01,https://www.unishop.it/media/c3/a1/82/1742240705/0193-10-100_MAINPIC_high.webp
Vite truciolare TPS con foro,"Vite truciolare TPS con foro - impronta Pozidriv, zincata bianca impronta con foro per tappo coprivite in plastica",https://www.unishop.it/4-5x45/0174-345-45-01,https://www.unishop.it/media/fe/57/b2/1742240570/0174-345-20_MAINPIC_high.webp
Zincata nera,Vite truciolare TCB - impronta Pozidriv,https://www.unishop.it/5x35/1196-705-35-01,https://www.unishop.it/media/49/8e/0b/1742240639/0196-03-16_MAINPIC_high.webp
"Zincato bianco, finta rondella",Tirafondo - vite per legno a testa esagonale,https://www.unishop.it/6x110/1192-006-110-01,https://www.unishop.it/media/bb/2f/b1/1742240716/0192-006-100_MAINPIC_high.webp
Vite truciolare TPS TX,Vite truciolare TPS TX - Inox A2,https://www.unishop.it/3-5x25/1162-35-25-01,https://www.unishop.it/media/ca/db/8e/1742240201/0162-35-16_MAINPIC_high.webp
Zincata gialla,Vite truciolare TPS - impronta Pozidriv,https://www.unishop.it/4-5x40/1186-745-40-01,https://www.unishop.it/media/e6/03/bd/1742240349/0186-24-12_MAINPIC_high.webp
"Zincato bianco, finta rondell…",Tirafondo - vite per legno a testa esagonale,https://www.unishop.it/6x130/0192-006-927-01,https://www.unishop.it/media/80/ff/bc/1742240733/0214-163-100_MAINPIC_high.webp
Vite truciolare TPS TX  speci…,"Vite truciolare TPS TX  speciale - zincata gialla particolarmente indicato per fissaggi carpenteria invisibili
 certificata ETA-12/0373",https://www.unishop.it/5x80/0685-109-480-01,https://www.unishop.it/media/57/7e/0c/1742240595/0685-109-480_MAINPIC_high.webp
Ottonata,Vite truciolare TPS - impronta Pozidriv,https://www.unishop.it/3-5x35/0198-003-535-01,https://www.unishop.it/media/51/29/91/1742240473/0198-002-412_MAINPIC_high.webp
Vite truciolare TPR TX,"Vite truciolare TPR TX - zincata gialla particolarmente indicato per fissaggi di listelli, perline e battiscopa. Grazie alla testa ridotta e le alette sottotesta, facilita la penetrazione all’interno del legno senza rovinare la sede di battuta",https://www.unishop.it/4x80/0176-4-80-01,https://www.unishop.it/media/60/7a/da/1742240599/0176-35-45_MAINPIC_high.webp
Zincata bianca,Vite truciolare TPS - impronta Pozidriv,https://www.unishop.it/4-5x40/0198-45-401-01,https://www.unishop.it/media/96/25/7e/1742234498/0198-24-12_MAINPIC_high.webp
Vite truciolare TPS TX per fi…,"Vite truciolare TPS TX per fissaggio distanziato - zincata bianca particolarmente indicato per livellare pannellature su pavimenti, pareti e controsoffitti. Utilizzabile per pannelli in legno, compensato e materiali derivati dal legno, la testa autosvasante evita screpolature, fenditure o sfaldamenti della superficie, non necessita di preforatura",https://www.unishop.it/6x100/0177-6-100-01,https://www.unishop.it/media/5c/2d/f6/1742240605/0177-6-60_MAINPIC_high.webp
Vite truciolare TMT,"Vite truciolare TMT - impronta Pozidriv, zincata bianca",https://www.unishop.it/5x45/0175-950-45-02,https://www.unishop.it/media/2b/b6/24/1742240645/0175-940-30_MAINPIC_high.webp
Vite truciolare TB,"Vite truciolare TB - impronta TX, zincata nera con collarino sottotesta, utilizzata prevalentemente per il fissaggio di bandelle",https://www.unishop.it/5x30/1196-705-030-01,https://www.unishop.it/media/aa/7e/1a/1742240650/0196-050-30_MAINPIC_high.webp
Vite truciolare TGS,"Vite truciolare TGS - impronta Pozidriv, ottonata",https://www.unishop.it/3-5x20/0195-335-20-01,https://www.unishop.it/media/8a/3d/63/1742240659/0195-33-17_MAINPIC_high.webp
Vite di congiunzione legno-me…,Vite di congiunzione legno-metallo - zincata bianca,https://www.unishop.it/6x70/0232-6-70-01,https://www.unishop.it/media/a7/26/40/1742240663/0232-10-100_MAINPIC_high.webp
