nome_prodotto,marca,descrizione,url_immagine
GTB 12V-11 Professional Avvitatore per cartongesso a batteria,Bosch,"Compatto e leggero, grazie ai soli 0,9 kg di peso; batteria da 2,5 Ah ed ergonomica circonferenza dell’impugnatura, per un impiego pratico anche in spazi ristretti
Potente e compatto gruppo motore-trasmissione da 12 Volt, per inserire 1200 viti con una sola carica della batteria (da 2,5 Ah)
Tecnologia a motore brushless Bosch, con Electronic Motor Protection e freno motore, per una lunga durata",https://www.bosch-professional.com/it/it/ocsmedia/363237-54/application-image/1434x828/avvitatore-per-cartongesso-a-batteria-gtb-12v-11-06019e4003.png
GLI 12V-300 Professional Torcia a batteria,Bosch,"La dotazione comprende un gancio per appenderla e 4 diverse posizioni d’appoggio, per un’illuminazione versatile
Grazie alla sua struttura e ai 6 potenti LED, è ideale per illuminare spazi ristretti
Tecnologia a basso consumo energetico, per illuminare per un’intera giornata lavorativa",https://www.bosch-professional.com/it/it/ocsmedia/270581-54/application-image/1434x828/torcia-a-batteria-gli-12v-300-06014a1000.png
GWB 12V-10 Professional Trapano ad angolo a batteria,Bosch,"Estremamente versatile: testa orientabile in 5 posizioni, per adattarlo a qualsiasi posizione di lavoro
Snella impugnatura Softgrip e interruttore di lunghe dimensioni, per il massimo di praticità e controllo
Rapido avanzamento del lavoro, grazie al campo del numero di giri regolabile da 0 a 1.300 giri/min",https://www.bosch-professional.com/it/it/ocsmedia/299709-54/application-image/1434x828/trapano-ad-angolo-a-batteria-gwb-12v-10-0601390909.png
GDR 12V-105 Professional Avvitatore a massa battente a batteria,Bosch,"Struttura compatta, per lavorare in punti difficilmente accessibili e per impieghi sopra testa
Coppia da ben 105 Nm, per le normali applicazioni di avvitatori a massa battente a batteria nel metallo e nel calcestruzzo
Velocità elevate, fino a 2600 giri/min, per un rapido avanzamento del lavoro",https://www.bosch-professional.com/it/it/ocsmedia/376013-54/application-image/1434x828/avvitatore-a-massa-battente-a-batteria-gdr-12v-105-06019a6906.png
GBA 12V 2.0Ah Professional Batteria ricaricabile,Bosch,"Batteria compatta, concepita per la gamma di utensili Bosch da 12 V
Batteria con capacità ottimizzata per la maggior parte degli elettroutensili da 12 V
Retrocompatibilità fino al 2005: tutte le nostre batterie sono compatibili con gli utensili Bosch Professional, nuovi e preesistenti, nella stessa categoria di tensione.",https://www.bosch-professional.com/it/it/ocsmedia/241055-54/application-image/1434x828/batteria-ricaricabile-gba-12v-2-0ah-1600z0002x.png
GBA 12V 3.0Ah Professional Batteria ricaricabile,Bosch,"La struttura compatta la rende ideale per la gamma di utensili da 12 V
Grazie alla capacità ottimizzata, è indicata per la maggior parte delle applicazioni a 12 V
Retrocompatibilità fino al 2005: tutte le nostre batterie sono compatibili con gli utensili Bosch Professional, nuovi e preesistenti, nella stessa categoria di tensione.",https://www.bosch-professional.com/it/it/ocsmedia/109864-54/application-image/1434x828/batteria-ricaricabile-gba-12v-3-0ah-1600a00x79.png
GBA 12V 6.0Ah Professional Batteria ricaricabile,Bosch,"Elevatissima capacità della batteria, per un’autonomia fino al 300% in più rispetto al modello 12V 2.0Ah Professional
Compattezza e ideale equilibrio fra dimensioni e capacità, per prestazioni eccezionali con elettroutensili da 12 V
Retrocompatibilità fino al 2005: tutte le nostre batterie sono compatibili con gli utensili Bosch Professional, nuovi e preesistenti, nella stessa categoria di tensione.",https://www.bosch-professional.com/it/it/ocsmedia/235633-54/application-image/1434x828/batteria-ricaricabile-gba-12v-6-0ah-1600a00x7h.png
GDR 12V-110 Professional Avvitatore a massa battente a batteria,Bosch,"Grande compattezza, per un impiego ideale, anche negli spazi più ristretti e negli impieghi sopra testa
Sistema Power Control a 2 livelli, per prevenire la torsione di piccole viti e per avvitamenti più precisi
Indicato per i normali impieghi di avvitatori a massa battente a batteria, grazie alla coppia da ben 110 Nm",https://www.bosch-professional.com/it/it/ocsmedia/376016-54/application-image/1434x828/avvitatore-a-massa-battente-a-batteria-gdr-12v-110-06019e0003.png
1 x GBA 12V 2.0Ah + 1 x GBA 12V 4.0Ah + GAL 12V-40 Professional Starter Set,Bosch,"GBA 12V 2.0Ah è una batteria compatta e leggera e GBA 12V 4.0Ah offre un’ulteriore autonomia di funzionamento per l’intera gamma di utensili da 12 V
GAL 12V-40: elevata velocità di ricarica per tutte le batterie da 12 V. Consente di caricare da 0 all’80% batterie da 12 V e 2,0 Ah in soli 24 minuti.
Compatibile con tutti gli utensili Bosch Professional da 10,8 V e 12 V (Professional 12V System)",https://www.bosch-professional.com/it/it/ocsmedia/375989-54/application-image/1434x828/starter-set-1-x-gba-12v-2-0ah-1-x-gba-12v-4-0ah-gal-12v-40-1600a01nc9.png
2 batterie GBA 12V 2.0Ah + caricabatteria GAL 12V-40 Professional Starter Set,Bosch,"GBA 12V 2.0Ah: una batteria compatta concepita per la gamma di utensili Bosch da 12 V
GAL 12V-40: elevata velocità di ricarica per tutte le batterie da 12 V. Consente di caricare da 0 all’80% batterie da 12 V e 2,0 Ah in soli 24 minuti
Retrocompatibilità fino al 2005: tutte le nostre batterie sono compatibili con gli utensili Bosch Professional, nuovi e preesistenti, nella stessa categoria di tensione",https://www.bosch-professional.com/it/it/ocsmedia/375996-54/application-image/1434x828/starter-set-2-batterie-gba-12v-2-0ah-caricabatteria-gal-12v-40-1600a019r8.png
2 batterie GBA 12V 6.0Ah + caricabatteria GAL 12V-40 Professional Starter Set,Bosch,"GBA 12V 6.0Ah: l’eccezionale capacità della batteria offre fino al 300% di autonomia in più rispetto al modello 12V 2.0Ah Professional
GAL 12V-40: elevata velocità di ricarica per tutte le batterie da 12 V. Consente di caricare da 0 all’80% batterie da 12 V e 6,0 Ah in soli 72 minuti
Retrocompatibilità fino al 2005: tutte le nostre batterie sono compatibili con gli utensili Bosch Professional, nuovi e preesistenti, nella stessa categoria di tensione",https://www.bosch-professional.com/it/it/ocsmedia/286634-54/application-image/1434x828/starter-set-2-batterie-gba-12v-6-0ah-caricabatteria-gal-12v-40-1600a01b20.png
GSB 12V-15 Professional Trapani battenti – Avvitatori a batteria,Bosch,"Coppia di serraggio da 30 Nm in materiale duro, numero di giri da 0 a 1.300 giri/min e ideale rapporto potenza/dimensioni
La struttura compatta consente una maneggevolezza ottimale e lo rende ideale per impieghi sopra testa e in spazi ristretti
Il sistema Electronic Cell Protection previene sovraccarico, surriscaldamento e scarica completa",https://www.bosch-professional.com/it/it/ocsmedia/294024-54/application-image/1434x828/trapani-battenti-avvitatori-a-batteria-gsb-12v-15-06019b690e.png
GAL 12V-40 Professional Caricabatteria,Bosch,"Ricarica rapida, grazie alla corrente da 4 A: la batteria GBA 12V 3.0Ah si ricarica all’80% in soli 36 minuti
Concezione moderna e compatta
Professional 12V System: piena compatibilità con tutte le batterie Bosch Professional da 12 V",https://www.bosch-professional.com/it/it/ocsmedia/286535-54/application-image/1434x828/caricabatteria-gal-12v-40-1600a019r3.png
GWS 12V-76 Professional Smerigliatrice angolare a batteria,Bosch,"Estremamente compatta ed ergonomica, per un lavoro rapido in cantiere e per un impiego pratico in numerose applicazioni
Motore brushless ad alte prestazioni, per agevolare un rapido avanzamento del lavoro e per un’elevata produttività
Molto versatile su un’ampia gamma di materiali",https://www.bosch-professional.com/it/it/ocsmedia/411360-54/application-image/1434x828/smerigliatrice-angolare-a-batteria-gws-12v-76-06019f2003.png
GWG 12V-50 S Professional Utensile rotativo,Bosch,"Potente motore brushless ad alte prestazioni e coppia elevata, per un’elevata produttività
Struttura compatta, leggera e con ridotta circonferenza dell’impugnatura, per un lavoro riposante
La levetta di regolazione del numero di giri e le varie modalità del numero di giri consentono un perfetto controllo, per un impiego versatile e risultati ottimali",https://www.bosch-professional.com/it/it/ocsmedia/425468-54/application-image/1434x828/utensile-rotativo-gwg-12v-50-s-06013a7000.png
GPO 12V-77 Professional Lucidatrice,Bosch,"Prestazioni costanti grazie al motore brushless
Utensile pratico e flessibile, con levetta di regolazione della velocità per un’impostazione di precisione
Comoda da usare grazie all’interruttore di blocco per un funzionamento continuo senza fatica
Il design compatto ed ergonomico facilita la rimozione di graffi profondi e la lucidatura di aree piccole e difficili da raggiungere",https://www.bosch-professional.com/it/it/ocsmedia/518159-54/application-image/1434x828/lucidatrice-gpo-12v-77-06019l3000.png
GPX 12V-77 Professional Lucidatrice,Bosch,"Prestazioni costanti grazie al motore brushless
Comoda e precisa, con levetta di regolazione della velocità per una regolazione fine
Migliore controllo grazie all’HMI con indicatore di carica della batteria e selezione della velocità a 5 livelli
Comoda da usare grazie all’interruttore di blocco per un funzionamento continuo senza fatica
Il design compatto ed ergonomico facilita la rimozione di ologrammi sulla vernice e graffi lievi su piccole superfici",https://www.bosch-professional.com/it/it/ocsmedia/518157-54/application-image/1434x828/lucidatrice-gpx-12v-77-06019l4000.png
GPX 12V-125 Professional Lucidatrice,Bosch,"Prestazioni costanti grazie al motore brushless
Comoda e precisa, con levetta di regolazione della velocità per una regolazione fine
Migliore controllo grazie all’HMI con indicatore di carica della batteria e regolazione della velocità a 5 livelli
Comoda da usare grazie all’interruttore di blocco per un funzionamento continuo senza fatica
Design compatto ed ergonomico per eliminare ologrammi e graffi leggeri – rende la lucidatura facile, anche su grandi superfici",https://www.bosch-professional.com/it/it/ocsmedia/518153-54/application-image/1434x828/lucidatrice-gpx-12v-125-06019l4100.png
GTC 400 C Professional Termocamera,Bosch,"Rapido scambio di dati e pratica documentazione delle immagini termiche, grazie all’app Bosch ThermalOn
La tecnologia «Immagine nell’immagine» sovrappone le immagini termiche e reali, per una chiara localizzazione della misurazione
Il versatile sistema di alimentazione consente di utilizzare sia una batteria al litio da 12 Volt, sia pile alcaline standard",https://www.bosch-professional.com/it/it/ocsmedia/337065-54/application-image/1434x828/termocamera-gtc-400-c-0601083108.png
Wallscanner D-tect 120 Professional Rilevatore,Bosch,"Misurazione spot, per un rilevamento preciso su piccole superfici
Funzione Center Finder, che indica visivamente l’esatta posizione del centro dell’oggetto
La tecnologia Dual Power Source consente di utilizzare sia una batteria al litio da 12 Volt, sia pile alcaline standard",https://www.bosch-professional.com/it/it/ocsmedia/386701-54/application-image/1434x828/rilevatore-wallscanner-d-tect-120-0601081303.png
GCL 2-50 CG Professional Livella laser combinata,Bosch,"Luminose linee laser orizzontali e verticali e due punti a piombo centrati, dalla visibilità ottimale
La connessione Bluetooth®, abbinata all’app livellamento Remote, consente di regolare a distanza lo strumento tramite smartphone
La tecnologia Dual Power Source consente di utilizzare sia una batteria al litio da 12 Volt, sia pile alcaline standard",https://www.bosch-professional.com/it/it/ocsmedia/351848-54/application-image/1434x828/livella-laser-combinata-gcl-2-50-cg-0601066h03.png
GLL 18V-120-33 CG Professional Livella laser a linee,Bosch,"Consente di cambiare con facilità la fonte di alimentazione, passando da 18 V a 12 V o alle pile alcaline C per evitare i tempi di inattività
Finestre di uscita laser e carcassa rinforzate in gomma e protezione IP65, per la massima tranquillità anche nei cantieri più impegnativi
Consente un fissaggio sicuro e un lavoro preciso con la massima facilità grazie al supporto integrato dotato di potenti magneti e alla regolazione di precisione dell’orientamento",https://www.bosch-professional.com/it/it/ocsmedia/452849-54/application-image/1434x828/livella-laser-a-linee-gll-18v-120-33-cg-0601065101.png
GLL 12V-100-33 CG Professional Livella laser a linee,Bosch,"La struttura robusta, con carcassa rinforzata in gomma e grado di protezione IP65, garantisce affidabilità nelle condizioni di lavoro difficili
Controllo a distanza delle 3 linee laser a 360° tramite l’app Levelling Remote, per lavorare in modo più preciso ed efficiente
Lavoro ininterrotto con la flessibilità di passare dalla batteria a litio da 12 V alle pile alcaline AA, eliminando i tempi di inattività dovuti allo scaricamento della batteria",https://www.bosch-professional.com/it/it/ocsmedia/482603-54/application-image/1434x828/livella-laser-a-linee-gll-12v-100-33-cg-0601065400.png
GIC 12V-4-23 C Professional Telecamera da ispezione,Bosch,"L’alta risoluzione, con 800 x 480 pixel, assicura una qualità eccellente delle immagini, che vengono visualizzate su un ampio schermo da 4,3""
La funzionalità Up Indication punta sempre in direzione verticale, permettendo all’utilizzatore di orientarsi più facilmente
Ideale per lavori impegnativi in cantiere, grazie ai gradi di protezione IP contro polvere e acqua",https://www.bosch-professional.com/it/it/ocsmedia/406040-54/application-image/1434x828/telecamera-da-ispezione-gic-12v-4-23-c-0601241500.png
GCL 12V-50-22 CG Professional Livella laser combinata,Bosch,"Massima tranquillità grazie alla protezione IP65 contro polvere e acqua e alla robusta carcassa in gomma
Meno perdite di tempo e più precisione con l’app Levelling Remote per il controllo a distanza delle linee
Mai più tempi di inattività, grazie alla doppia alimentazione che consente di passare dalla batteria al litio da 12 V alle pile alcaline AA",https://www.bosch-professional.com/it/it/ocsmedia/482564-54/application-image/1434x828/livella-laser-combinata-gcl-12v-50-22-cg-0601066s00.png
GIS 1000 C Professional Rilevatore termico,Bosch,"La fotocamera integrata visualizza e documenta immediatamente i valori di misurazione all’interno delle fotografie
Pratico trasferimento e archiviazione dei dati, tramite app Bosch ThermalOn o USB
Lavoro preciso grazie alle cinque diverse modalità, per coprire tutte le applicazioni",https://www.bosch-professional.com/it/it/ocsmedia/345568-54/application-image/1434x828/rilevatore-termico-gis-1000-c-0601083300.png
Wallscanner D-tect 200 C Professional Rilevatore,Bosch,"Tecnologia radar Bosch e moderna interfaccia utente per precisione, maggiore sicurezza e visualizzazione chiara degli oggetti rilevati
La flessibilità delle molteplici viste offre i migliori risultati in diverse situazioni
La funzione screenshot consente una documentazione rapida e semplice; è possibile scaricare gli screenshot tramite USB-C® e scheda SD",https://www.bosch-professional.com/it/it/ocsmedia/344428-54/application-image/1434x828/rilevatore-wallscanner-d-tect-200-c-0601081600.png
GLL 3-80 C Professional Livella laser a linee,Bosch,"funzione di sorveglianza CAL Guard e comando a distanza di grande precisione, tramite app per smartphone con connessione Bluetooth®
Illuminazione ottimale, grazie ai LED ad alta potenza
Le 3 linee a 360° permettono il livellamento simultaneo in orizzontale ed in verticale, per un lavoro di grande efficienza",https://www.bosch-professional.com/it/it/ocsmedia/323444-54/application-image/1434x828/livella-laser-a-linee-gll-3-80-c-0601063r00.png
GLL 3-80 CG Professional Livella laser a linee,Bosch,"Luminose linee laser verdi: visibilità fino a quattro volte migliore rispetto alle linee rosse
funzione di sorveglianza CAL Guard e comando a distanza di grande precisione, tramite app per smartphone con connessione Bluetooth®
Le 3 linee a 360° permettono il livellamento simultaneo in orizzontale ed in verticale, per un lavoro di grande efficienza",https://www.bosch-professional.com/it/it/ocsmedia/323446-54/application-image/1434x828/livella-laser-a-linee-gll-3-80-cg-0601063t03.png
GTC 600 C Professional Termocamera,Bosch,"Elevata risoluzione termica ed esteso campo di misurazione, per la massima versatilità
Nota vocale e app Bosch ThermalOn per una documentazione facile delle immagini termiche
Intuitiva interfaccia di comando e funzionalità perfettamente integrate, per un lavoro impeccabile in pochi clic",https://www.bosch-professional.com/it/it/ocsmedia/344434-54/application-image/1434x828/termocamera-gtc-600-c-0601083508.png
