nome_prodotto,marca,descrizione,url_immagine
Corona PRO ad umido Per trapani carotatori,Bosch,"Lunga durata nella foratura a umido del calcestruzzo
I segmenti diamantati alti durano più a lungo
Per punte diamantate filettate da 1/2""",https://www.bosch-professional.com/it/it/ocsmedia/478073-82/product-image/720x410/corona-pro-ad-umido-3088569.png
"Disco diamantato PRO Marble Per seghe da banco, Per mototroncatrici a scoppio",Bosch,"Taglio di precisione del marmo
Grana al diamante elettrodepositata per tagli puliti e precisi
Con foro da 25,4 mm, si adatta a fori da 20 mm con anelli di riduzione",https://www.bosch-professional.com/it/it/ocsmedia/478133-82/product-image/720x410/disco-diamantato-pro-marble-3088619.png
Corona PRO ad umido Per trapani carotatori,Bosch,"Lunga durata nella foratura a umido del calcestruzzo
I segmenti diamantati alti durano più a lungo
Con filetto UNC da 1 1/4"" per punte diamantate",https://www.bosch-professional.com/it/it/ocsmedia/478080-82/product-image/720x410/corona-pro-ad-umido-3088570.png
Disco diamantato PRO Marble Per smerigliatrici angolari grandi con dado di serraggio,Bosch,"Taglio di precisione del marmo
Grana al diamante elettrodepositata per tagli puliti e precisi
Con foro da 22,3 mm per smerigliatrici angolari con attacco standard",https://www.bosch-professional.com/it/it/ocsmedia/478131-82/product-image/720x410/disco-diamantato-pro-marble-3088618.png
PRO Pilot Drill Bit Per trapani a percussione/avvitatori a impulsi,Bosch,"Centring core cutters
Codolo cilindrico compatibile con mandrini a tre ganasce",https://www.bosch-professional.com/it/it/ocsmedia/568021-82/product-image/720x410/<!-language-missing->-2608707341.png
Segmenti per PRO Core Cutter wet Per trapani carotatori,Bosch,"Lunga durata nella foratura a umido del calcestruzzo
I segmenti diamantati alti durano più a lungo",https://www.bosch-professional.com/it/it/ocsmedia/467878-82/product-image/720x410/segmenti-per-pro-core-cutter-wet-3088571.png
Set di corone PRO Ceramic dry Per piccole smerigliatrici angolari,Bosch,"Lunga durata nella foratura a secco di piastrelle in ceramica dura e morbida
Grana diamantata di alta qualità brasata per una maggiore durata",https://www.bosch-professional.com/it/it/ocsmedia/415904-82/product-image/720x410/set-di-corone-x-lock-pro-ceramic-dry-68-x-33-51-x-33-35-x-33-25-x-33-20-x-33-mm-5-pz-2608599037.png
Disco diamantato PRO Multi Material Per piccole smerigliatrici angolari,Bosch,"Lunga durata nel taglio di vari materiali da costruzione
Segmenti a basso attrito progettati per ridurre al minimo l'usura sui lati
Con foro da 22,3 mm per smerigliatrici angolari con attacco standard",https://www.bosch-professional.com/it/it/ocsmedia/478142-82/product-image/720x410/disco-diamantato-pro-multi-material-3088593.png
Set di corone PRO Ceramic dry Per piccole smerigliatrici angolari,Bosch,"Lunga durata nella foratura a secco di piastrelle in ceramica dure e morbide
Grana diamantata di alta qualità brasata per una maggiore durata",https://www.bosch-professional.com/it/it/ocsmedia/415894-82/product-image/720x410/set-di-corone-pro-ceramic-dry-3088573.png
Disco diamantato PRO Multi Material Per smerigliatrici angolari grandi con dado di serraggio,Bosch,"Lunga durata nel taglio di vari materiali da costruzione
Segmenti a basso attrito progettati per ridurre al minimo l'usura sui lati
Con foro da 22,3 mm per smerigliatrici angolari con attacco standard",https://www.bosch-professional.com/it/it/ocsmedia/478145-82/product-image/720x410/disco-diamantato-pro-multi-material-3088594.png
