nome,marca,descrizione,immagine,link
DECORFOND,San Marco,Fondo uniformante ideale per pitture decorative; si applica prima della pittura decorativa per ottenere fondo omogeneo su tutta la parete; si stende agevolmente a rullo.,https://egress.storeden.net/jpg/6811f851e39ee16ce01e84f2,/product/22325601/decorfond
SILVER CONFORT,San Marco,"Pittura lavabile, igienizzante e antimuffa, a base di ioni d'argento che creano una barriera che previene la proliferazione del 99,9% dei batteri; esente da cov e formaldeide.",https://egress.storeden.net/jpg/6808c52ee39ee1d9cbece47c,/product/21758270/silver-confort
SILDOMUS SANA,San Marco,"Pittura traspirante ai silicati, preserva dalle muffe e dall'umidità; è esente da cov e formaldeide, due dei peggiori inquinanti indoor, ideale per ambienti frequentati da persone sensibili.",https://egress.storeden.net/jpg/678e2443e39ee15a19a68dd1,/product/20248697/sildomus-sana
ARUM,San Marco,"Pittura traspirante, ipoallergenica e inodore, a base acqua; è esente da cov e formaldeide, due dei peggiori inquinanti indoor, ideale per ambienti frequentati da persone sensibili.",https://egress.storeden.net/jpg/6824900ae39ee162e2c71d95,/product/20248644/arum
ANTICA CALCE,San Marco,"Pittura alla calce antistatica, tiene lontano polvere e sporco, non cola ed è facile da applicare; a zero emissioni di cov, riproduce l'effetto opaco tipico della calce naturale.",https://egress.storeden.net/jpg/67ff782cbe7ea061b487b51e,/product/20248538/antica-calce
UNIMARC VERNICE PER PARQUET,San Marco,"Vernice per parquet e pavimenti in legno, a base acqua e per interni; di qualità professionale, con finitura semilucida e opaca.",https://egress.storeden.net/jpg/678e1f8ce39ee13817a68d2d,/product/23456254/unimarc-vernice-per-parquet
UNIMARC DUO LEGNO,San Marco,"Impregnante cerato a base acqua, inodore e a rapida essiccazione, per interni ed esterni; protegge il tuo legno dagli agenti atmosferici e dai raggi uv, in profondità e in superficie.",https://egress.storeden.net/jpg/67f38bdbe39ee1eb2f38377e,/product/21763757/unimarc-duo-legno
UNIMARC IMPREGNANTE LEGNO,San Marco,"Impregnante per legno a base acqua, inodore e ad alta protezione, per interni ed esterni.",https://egress.storeden.net/jpg/67f38db1be7ea07fc908009e,/product/20248452/unimarc-impregnante-legno
UNIMARC FINITURA CERATA,San Marco,"Finitura cerata per legno a base acqua; protegge il legno in superficie e lo rende impermeabile, conferendogli un gradevole effetto satinato al tatto.",https://egress.storeden.net/jpg/67f38d87be7ea05b0307ff5a,/product/20248453/unimarc-finitura-cerata
MARCONOL IMPREGNANTE,San Marco,"Impregnante a solvente per l'impregnazione superficiale del legno; lo protegge dagli agenti atmosferici, dai raggi uv e dagli inquinanti, garantendone un aspetto inalterato nel tempo.",https://egress.storeden.net/jpg/67b3488ae39ee12110882c0c,/product/20248472/marconol-impregnante
MARCONOL CERATO,San Marco,"Impregnante cerato a solvente per l'impregnazione profonda del legno; protegge il legno da agenti atmosferici e raggi uv; traspirante al vapore acqueo, lascia visibili le venature.",https://egress.storeden.net/jpg/67ef96f7e39ee1a5a1e3d69e,/product/20248473/marconol-cerato
MARCONOL GEL,San Marco,"Impregnante gel per legno, trasparente ad effetto cerato, si assorbe facilmente senza alterare l'aspetto naturale del legno; crea una barriera protettiva e protegge da funghi e muffe.",https://egress.storeden.net/jpg/67b348b3e39ee1dd0e882c73,/product/20248647/marconol-gel
MARCONOL ORIENTALITE,San Marco,"Pittura di fondo per legno a solvente, coprente e rapida essiccazione; facile da applicare, non gocciola ed è perfetto come fondo da applicare prima dello smalto.",https://egress.storeden.net/jpg/678e1ff5e39ee11218a68c62,/product/20248478/marconol-orientalite
