name,description,url,image_url
"Bit set 1/4""","Bit set 1/4\"" - da 32 pezzi 30 bit in acciaio al silicio-molibdeno di qualità professionale (S2). Sistema di codifica a colori per una facile selezione 
Contenuto: PH1-2xPH2-PH3, PZD1-2xPZD2-PZD3, TG-3-4-5-6, EI3-4-5-6, TX10-15-20-25-27-30-40, TX10-15-20-25-27-30-40 con foro, 1 porta-inserti brevettato con forte magnete e mandrino a sgancio rapido 1/4\"", 1 adattatore per bussole 1/4\""",https://www.unishop.it/bit-set-1-4/45f3cfad-8f6c-4512-8475-077335a16893,https://www.unishop.it/media/34/17/aa/1742244006/0720-003-010_MAINPIC_high.webp
Bicomponente lama 18 mm + fod…,"Cutter altissima qualità Quick Back - Made in Japan 
impugnatura ergonomica in ABS bicomponente
corpo in acciaio allungato in punta utilizzabile anche come cacciavite
estrazione della lama mediante pressione e ritiro automatico al rilascio
lama scorrevole a spezzare in acciaio di altissima qualità
punta posteriore utilizzabile come multiuso tipo apri scatole o taglio di nastro su cartone, evitando così di danneggiare il contenuto
sistema di bloccaggio della lama sicuro e pratico
lama 18 mm multiuso con ritrazione automatica",https://www.unishop.it/lama18mm/3715-640-215-01,https://www.unishop.it/media/f8/44/db/1742244037/3715-640-215_MAINPIC_high.webp
Manico curvo,"Segaccio a taglio rapido Rapid Pull - Made in Japan 
dentatura speciale a tre taglienti
lama attiva in fase di tiraggio tre volte più veloce
estrema precisione di taglio
lunghezza lama 265 mm",https://www.unishop.it/470/0695-932-200-01,https://www.unishop.it/media/e6/4e/f5/1742234671/0695-932-200_MAINPIC_high.webp
Lama Inox microdentata e tacc…,Forbice elettricista lame dritte - linea professionale in materiale professionale sia sulla parte lama che nell’impugnaturaergonomica,https://www.unishop.it/140/0714-03-164-01,https://www.unishop.it/media/4b/83/cc/1742234678/0714-03-164_MAINPIC_high.webp
Miniseghetto con lama,"Miniseghetto con lama 
archetto in tondino d’acciaio trafilato e nichelato
lunghezza lama 150 mm",https://www.unishop.it/245/0609-1-01,https://www.unishop.it/media/g0/bc/df/1742244009/0609-1_MAINPIC_high.webp
Lama   9mm multiuso,Cutter alta qualità - Made in Japan impugnatura in ABS o bicomponentelama scorrevole a spezzare in acciaio di altissima qualitàsistema di bloccaggio della lama sicuro e praticospezzalama di sicurezzacon 2 lame ricambio contenute nel manico (esclusa versione bicomponente con lama 25 mm - 3715 640 24),https://www.unishop.it/lama-9-mm/0715-640-20-01,https://www.unishop.it/media/8e/a7/38/1742244041/0715-640-20_MAINPIC_high.webp
Lama microdentata/rasoio,Forbice elettricista lame dritte - linea professionale in materiale professionale sia sulla parte lama che nell’impugnaturaergonomica,https://www.unishop.it/145/0714-03-163-01,https://www.unishop.it/media/20/81/9c/1742418924/0714-03-163_MAINPIC_high.webp
Lame di ricambio Razer Black,"Cutter altissima qualità Quick Back - Made in Japan 
impugnatura ergonomica in ABS bicomponente
corpo in acciaio allungato in punta utilizzabile anche come cacciavite
estrazione della lama mediante pressione e ritiro automatico al rilascio
lama scorrevole a spezzare in acciaio di altissima qualità
punta posteriore utilizzabile come multiuso tipo apri scatole o taglio di nastro su cartone, evitando così di danneggiare il contenuto
sistema di bloccaggio della lama sicuro e pratico
lama 18 mm multiuso con ritrazione automatica",https://www.unishop.it/lama-18x110/3715-640-211-01,https://www.unishop.it/media/a1/d4/7d/1742244039/3715-640-211_MAINPIC_high.webp
Lama seghetto bimetallica,"Lama seghetto bimetallica idonea per il taglio di acciaio per utensili, acciaio inox e acciai da costruzione
 altissima flessibilità per una maggior sicurezzadentatura uniforme a 24 denti per polliceottima resa di tagliolunga durata",https://www.unishop.it/300/0601-300-233-01,https://www.unishop.it/media/79/84/45/1742244013/0601-300-133_MAINPIC_high.webp
Lama 18mm multiuso,Cutter alta qualità - Made in Japan impugnatura in ABS o bicomponentelama scorrevole a spezzare in acciaio di altissima qualitàsistema di bloccaggio della lama sicuro e praticospezzalama di sicurezzacon 2 lame ricambio contenute nel manico (esclusa versione bicomponente con lama 25 mm - 3715 640 24),https://www.unishop.it/lama-18mm/0715-640-21-01,https://www.unishop.it/media/6b/af/f9/1742244044/0715-640-21_MAINPIC_high.webp
